hotel_name,location,country,description,amenities,rating,contact,website_url,source_url,latitude,longitude
Sleep Inn,Nairobi,Kenya,"Sleep Inn is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5539640430,-1.2743323,36.8195468
Parkside Hotel / House,Nairobi,Kenya,"Parkside Hotel / House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5552467939,-1.2805821,36.8189083
Latema Sacco;Nawas Hotel,Nairobi,Kenya,"Latema Sacco;Nawas Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5552492025,-1.2819906,36.8252616
Chester House Apartments,Nairobi,Kenya,"Chester House Apartments is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5555073931,-1.2845267,36.818864
Water Front Gardens Estate,Nairobi,Kenya,"Water Front Gardens Estate is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5580878321,-1.2634566,36.7441485
Rotem's g,Nairobi,Kenya,"Rotem's g is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,0798482756,,https://www.openstreetmap.org/node/5628086422,-1.280949,36.7926555
Samma Rays Restaurant Bar and Guest House,Nairobi,Kenya,"Samma Rays Restaurant Bar and Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5732964021,-1.2749124,36.8213762
Ololo Safari Lodge,Nairobi,Kenya,"Ololo Safari Lodge is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5745194521,-1.3983564,36.8330172
Wonderhouse Homestay,Nairobi,Kenya,"Wonderhouse Homestay is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5879453385,-1.2982221,36.9125436
Orchid homes,Nairobi,Kenya,"Orchid homes is an accommodation option in Nairobi, Kenya.",wheelchair,Not listed,+254 717 060905,,https://www.openstreetmap.org/node/6119629687,-1.2343369,36.8048203
Nairobi Stay,Nairobi,Kenya,"Nairobi Stay is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6141848496,-1.2884384,36.7607784
Elysian Resort,Nairobi,Kenya,"Elysian Resort is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6161845823,-1.2123094,36.8281328
Swiss-Belinn Nairobi,Nairobi,Kenya,"Swiss-Belinn Nairobi is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6170453001,-1.2760064,36.7923995
Cedarwood Court,Nairobi,Kenya,"Cedarwood Court is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6171172013,-1.2131697,36.8494204
Karina Guest House,Nairobi,Kenya,"Karina Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6171172034,-1.2239104,36.8543172
Geo Mara Penthouse Lavington,Nairobi,Kenya,"Geo Mara Penthouse Lavington is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6178983057,-1.2938388,36.7660751
Wuduria Hotel,Nairobi,Kenya,"Wuduria Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6184435663,-1.3014639,36.7878752
Tents Lounge & Hotel,Nairobi,Kenya,"Tents Lounge & Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6208028477,-1.3275727,36.8826113
Ececta Resdence,Nairobi,Kenya,"Ececta Resdence is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6210015312,-1.3713162,36.9199339
Kifaru Guest House-Karen,Nairobi,Kenya,"Kifaru Guest House-Karen is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6224771754,-1.3740217,36.7301409
HomeAwayFromHome,Nairobi,Kenya,"HomeAwayFromHome is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6224790460,-1.2221216,36.8416482
Ridgeville Resort and Conference Center,Nairobi,Kenya,"Ridgeville Resort and Conference Center is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6224790469,-1.2231484,36.8443182
Prismatic Garden Girls Hostel,Nairobi,Kenya,"Prismatic Garden Girls Hostel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6224913770,-1.2527193,36.8551017
Amani Conference Centre,Nairobi,Kenya,"Amani Conference Centre is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6224913781,-1.2517683,36.8581246
Thome Classic Homes,Nairobi,Kenya,"Thome Classic Homes is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6224915296,-1.2309816,36.8723796
